sutra_ref	sutra_id	final_form	dhatu_root	dhatu_meaning	gana	wiki_target	chain
4.1.28	41028	बहुराजा	से	स्त्री प्रत्यय			बहुराजा। बहु+राजन्। बहुराजन्+सु। बहुराजान्+सु। बहुराजान्+०। बहुराजा०+ 0। बहुराजा।
4.1.29	41029	सुराज्ञी	सब				सुराज्ञी। सु+राजन्। सुराजन्+ङीप्। सुराजन्+ई। सुराज्ञ्+ई। सुराज्ञी+सु। सुराज्ञी।
4.1.30	41030	केवली	केवल	शब्द			केवली। केवल+ङीप्। केवल्+ई। केवली+सु। केवली।
4.1.30	41030	मामकी	प्रथम	से अस्मद्			मामकी। अस्मद्+अण्। ममक+अ। मामक+ङीप्। मामकी+सु। मामकी।
4.1.30	41030	भागधेयी	पुलिङ्ग	भाग			भागधेयी। भाग+धेय। भागधेय+डी। भागधेयी+सु। भागधेयी। ﻿
4.1.30	41030	पापी	पाप	शब्द अभेद-उपचार			पापी। पाप + ङीप्। पापी+सु। पापी।
4.1.30	41030	भेषजी	प्रथम	भिषज्			भेषजी। भिषज् + अण्। भेषज + ङीप्। भेषजी+सु। भेषजी।
4.1.31	41031	रात्री	प्रथमा	विभक्ति			रात्री। रात्रि+डी। राज्+ई। रात्री+सु। रात्री।
4.1.32	41032	अन्तर्वत्नी	अन्तर्वत्	प्रातिपदिक			अन्तर्वत्नी। अन्तर्वत्+ङीप्। अन्तर्वत्+नुक्+ई। अन्तर्वत्नी+सु। अन्तर्वत्नी।
4.1.38	41038	मनावी	मनु	शब्द			मनावी। मनु+ङीप्। मनौ+ई। मनावी+सु। मनावी।
4.1.38	41038	मनायी	मनु	शब्द			मनायी। मनु+डी। मनै+ई। मनायी+सु। मनायी।
4.1.39	41039	एनी	वर्णवाची	एत			एनी। एत+डी। एन्+ई। एनी+सु। एनी।
4.1.41	41041	नर्तकी	नती	गात्रविक्षेपे	दि०प०		नर्तकी। नृत्+बुन्। न+अक। नर्तक+ङीष्। नर्तकी+सु। तकी। ﻿
4.1.41	41041	गौरी	यस्येति	च			गौरी। गौर+ङीष्। गौरी+सु। गौरी। (५) मत्सी। मत्स्य+ङीष्। मत्स्य+ई। मत्सी+सु। मत्सी।
4.1.43	41043	शोणी	रक्तवर्णवाची	शोण			शोणी। शोण+ ङीष्। शोणी+सु। शोणी।
4.1.44	41044	पट्वी	उकारान्त	गुणवाची पटु			पट्वी। पटु+ङीष्। पटु+ई। पट्वी+सु। पट्वी।
4.1.47	41047	विभ्वी	भू	सत्तायाम्	भ्वा०प०	01.0001__भू_सत्तायाम्	विभ्वी। वि+भू+डु। वि+भ्+उ। विभु+ङीष्। विभु+ई। विभ्वी।
4.1.49	41049	इन्द्राणी	इन्द्र	शब्द			इन्द्राणी। इन्द्र+ङीष्। इन्द्र+आनुक्+ई। इन्द्र+आन्+ई। इन्द्राणी+सु। इन्द्राणी।
4.1.53	41053	सारङ्गजग्धी	प्रथम	अस्वाङ्ग पूर्वपद सारङ्ग और क्त-प्रत्ययान्त अन्तोदात्त जग्ध			सारङ्गजग्धी। सारङ्ग+जग्ध+डी। सारङ्गजग्धी+सु। सारङ्गजाधी।
